año,cve_mun,um
2016,1,8
2016,2,5
2016,3,20
2016,4,5
2016,5,6
2016,6,10
2016,7,8
2016,8,9
2016,9,4
2016,10,16
2016,11,10
2016,12,14
2016,13,54
2016,14,10
2016,15,9
2016,16,12
2016,17,15
2016,18,9
2016,19,8
2016,20,32
2016,21,16
2016,22,9
2016,23,9
2016,24,34
2016,25,10
2016,26,6
2016,27,5
2016,28,162
2016,29,14
2016,30,4
2016,31,12
2016,32,16
2016,33,9
2016,34,7
2016,35,38
2016,36,15
2016,37,52
2016,38,7
2016,39,11
2016,40,19
2016,41,13
2016,42,5
2016,43,4
2016,44,8
2016,45,9
2016,46,6
2016,47,8
2016,48,1
2016,49,12
2016,50,15
2016,51,10
2016,52,5
2016,53,23
2016,54,25
2016,55,9
2016,56,4
2016,57,12
2016,58,8
